Probe_Set_ID	Value
253971_at	1
259839_at	1
257017_at	1
260363_at	1
247965_at	1
256237_at	1
257651_at	1
262200_at	1
248656_at	1
254817_at	1
252983_at	1
257832_at	1
259375_at	1
255617_at	1
259983_at	1
254239_at	1
261610_at	1
250317_at	1
250366_at	1
265201_at	1
257596_at	1
267092_at	1
255808_at	1
266414_at	1
260356_at	1
249375_at	1
259430_at	1
254119_at	1
264700_at	1
AFFX-DapX-M_at	1
251133_at	1
256770_at	1
258499_at	1
AFFX-LysX-M_at	1
257965_at	1
259591_at	1
257749_at	1
263053_at	1
266856_at	1
248034_at	1
256277_at	1
260800_at	1
258500_at	1
247188_at	1
266474_at	1
250846_at	1
258372_at	1
257006_at	1
257621_at	1
264385_at	1
256755_at	1
257654_at	1
258894_at	1
257216_at	1
249266_at	1
261806_at	1
255742_at	1
264859_at	1
259842_at	1
248551_at	1
257641_s_at	1
267230_at	1
252234_at	1
247351_at	1
260143_at	1
253414_at	1
255524_at	1
254432_at	1
267246_at	1
251060_at	1
248686_at	1
259272_at	1
249918_at	1
256017_at	1
262133_at	1
245260_at	1
245383_at	1
245399_at	1
245642_at	1
246791_at	1
246818_at	1
247597_at	1
248296_at	1
248972_at	1
249321_at	1
249356_at	1
249869_at	1
251225_at	1
251326_at	1
251719_at	1
251808_at	1
251823_at	1
252374_at	1
252398_at	1
252478_at	1
253551_at	1
253778_at	1
253921_at	1
255257_at	1
256305_at	1
256502_at	1
257769_at	1
257964_at	1
258033_at	1
258218_at	1
258394_at	1
259759_at	1
259803_at	1
260267_at	1
263325_at	1
263593_at	1
264665_at	1
264986_at	1
265448_at	1
265700_at	1
266170_at	1
266216_at	1
267201_at	1
267212_at	1
267543_at	1
